ENSMUSG00000081417.2	0	0	0
ENSMUSG00000103448.2	0	0	0
ENSMUSG00000100212.2	0	0	0
ENSMUSG00000100648.2	0	0	0
ENSMUSG00002076499.1	0	0	0
ENSMUSG00000048960.14	3435	1737	1698
ENSMUSG00000077318.3	0	0	0
ENSMUSG00000101827.2	0	0	0
ENSMUSG00000103494.2	0	0	0
ENSMUSG00000057715.14	0	0	0
ENSMUSG00000103825.2	3	1	2
ENSMUSG00000099845.2	0	0	0
ENSMUSG00000103561.2	0	0	0
ENSMUSG00000101610.2	1	0	1
ENSMUSG00000118923.1	0	0	0
ENSMUSG00000098555.3	0	0	0
ENSMUSG00000097628.2	0	0	0
ENSMUSG00000098163.2	0	0	0
ENSMUSG00000097171.2	0	0	0
ENSMUSG00000101314.2	0	0	0
ENSMUSG00000016918.16	2329	1169	1160
ENSMUSG00000025938.17	2011	1014	997
ENSMUSG00000104518.2	0	0	0
ENSMUSG00000069620.7	0	0	0
ENSMUSG00000099498.2	0	0	0
ENSMUSG00000042414.8	0	0	0
ENSMUSG00000005886.15	6200	3131	3069
ENSMUSG00000103506.2	1	1	0
ENSMUSG00000103495.2	1	1	0
ENSMUSG00002076346.1	0	0	0
ENSMUSG00000102639.2	0	0	0
ENSMUSG00000104170.2	1	0	1
ENSMUSG00000087782.3	0	0	0
ENSMUSG00000103085.2	6	1	5
ENSMUSG00000102664.2	6	2	4
ENSMUSG00000101476.2	2	1	1
ENSMUSG00000101171.2	3	0	3
ENSMUSG00000025935.11	4241	2143	2099
ENSMUSG00000120948.1	0	0	1
ENSMUSG00000025937.7	2940	1505	1435
ENSMUSG00000102982.2	37	21	16
ENSMUSG00000067813.4	0	0	0
ENSMUSG00000077368.3	0	0	0
ENSMUSG00000097711.2	1	1	0
ENSMUSG00000102166.2	0	0	0
ENSMUSG00002075174.1	0	0	0
ENSMUSG00000104209.2	0	0	0
ENSMUSG00000025932.15	109	70	39
ENSMUSG00002075819.1	0	0	0
ENSMUSG00000102588.2	0	0	0
ENSMUSG00000054493.3	33	97	91
ENSMUSG00000025930.7	235	195	195
ENSMUSG00000103492.2	22	10	12
ENSMUSG00000081201.2	0	0	0
ENSMUSG00000082193.2	24	14	10
ENSMUSG00000032769.6	5	4	1
ENSMUSG00000088159.3	0	0	0
ENSMUSG00000073737.4	3	1	2
ENSMUSG00000092083.5	3	1	2
ENSMUSG00000102937.2	0	0	0
ENSMUSG00000104149.2	3	3	0
ENSMUSG00000088829.3	0	0	0
ENSMUSG00000077377.3	0	0	0
ENSMUSG00000101652.2	0	0	0
ENSMUSG00000100814.2	0	0	0
ENSMUSG00000025925.15	516	263	253
ENSMUSG00000104379.2	4	20	15
ENSMUSG00000032719.5	11	19	23
ENSMUSG00002076565.1	0	0	0
ENSMUSG00000100652.2	0	0	0
ENSMUSG00000067795.14	0	0	0
ENSMUSG00000043716.14	26380	13207	13173
ENSMUSG00000025921.8	823	425	398
ENSMUSG00000104165.2	8	4	4
ENSMUSG00000100868.2	6	10	2
ENSMUSG00000025920.20	5769	2902	2873
ENSMUSG00000089982.8	1	1	0
ENSMUSG00000025939.20	1510	830	851
ENSMUSG00000102457.2	9	94	86
ENSMUSG00000079658.10	4341	2222	2119
ENSMUSG00000097744.2	2	2	0
ENSMUSG00000100959.2	0	0	0
ENSMUSG00000025940.7	9243	4596	4647
ENSMUSG00000025779.11	167	86	81
ENSMUSG00000100093.2	0	0	0
ENSMUSG00000091020.4	2	0	2
ENSMUSG00000101640.2	0	113	85
ENSMUSG00000104133.2	0	0	0
ENSMUSG00000042686.6	2612	1367	1443
ENSMUSG00000100110.2	0	0	0
ENSMUSG00000025777.9	1	1	0
ENSMUSG00000099899.2	0	0	0
ENSMUSG00000100272.2	0	0	0
ENSMUSG00000100398.2	1	1	0
ENSMUSG00000101589.2	5	3	2
ENSMUSG00000102048.2	0	0	0
ENSMUSG00000089534.3	0	0	0
ENSMUSG00000067780.4	573	313	283
ENSMUSG00000100053.2	29	27	25
ENSMUSG00000085125.8	8	16	15
ENSMUSG00000025776.14	248	135	136
ENSMUSG00000099895.2	0	0	0
ENSMUSG00000100554.2	2	1	1
ENSMUSG00000099473.2	0	0	0
ENSMUSG00000099591.2	0	0	0
ENSMUSG00000109887.2	0	0	0
ENSMUSG00000102001.2	0	0	0
ENSMUSG00000101717.3	0	0	0
ENSMUSG00000025774.15	0	0	0
ENSMUSG00000070977.5	0	0	0
ENSMUSG00000073735.2	0	0	0
ENSMUSG00000067773.7	0	0	0
ENSMUSG00000101685.2	0	0	0
ENSMUSG00000101306.2	0	0	0
ENSMUSG00000088800.4	0	0	0
ENSMUSG00000101644.2	0	0	0
ENSMUSG00000099433.2	0	0	0
ENSMUSG00000089787.3	0	0	0
ENSMUSG00000042596.8	0	0	0
ENSMUSG00000100720.2	2	2	0
ENSMUSG00000025927.14	8	6	2
ENSMUSG00000100538.2	0	0	0
ENSMUSG00000101117.2	0	0	0
ENSMUSG00000100204.2	2	0	2
ENSMUSG00002076883.1	0	0	0
ENSMUSG00000102597.2	0	0	0
ENSMUSG00000043760.17	3	3	0
ENSMUSG00000104095.2	0	0	0
ENSMUSG00000089914.3	0	0	0
ENSMUSG00000090142.3	0	0	0
ENSMUSG00000070175.3	0	0	0
ENSMUSG00000099906.3	0	0	0
ENSMUSG00000065559.3	0	0	0
ENSMUSG00000065480.3	0	0	0
ENSMUSG00000025929.5	0	0	0
ENSMUSG00000041872.10	0	0	0
ENSMUSG00000041859.11	582	310	272
ENSMUSG00000099714.2	0	0	0
ENSMUSG00000102121.2	0	0	0
ENSMUSG00000088858.3	0	0	0
ENSMUSG00000097934.2	7	3	4
ENSMUSG00000025931.16	268	141	127
ENSMUSG00000077314.3	0	0	0
ENSMUSG00000100929.2	0	0	0
ENSMUSG00000041809.6	60	45	15
ENSMUSG00000041779.6	1033	509	524
ENSMUSG00000099971.2	0	0	0
ENSMUSG00000100819.2	33	17	16
ENSMUSG00000025933.16	255	117	138
ENSMUSG00000102633.2	5	3	2
ENSMUSG00000025934.16	481	238	243
ENSMUSG00000099343.2	4	0	4
ENSMUSG00000096375.3	0	0	0
ENSMUSG00000121505.1	17	9	8
ENSMUSG00000025936.18	0	0	0
ENSMUSG00000093963.2	0	0	0
ENSMUSG00000067750.4	2	1	1
ENSMUSG00000086194.2	1	0	1
ENSMUSG00000094436.2	0	0	0
ENSMUSG00000041722.8	1	1	0
ENSMUSG00000085507.2	0	0	0
ENSMUSG00000094926.2	0	0	0
ENSMUSG00000085079.4	0	0	0
ENSMUSG00000085679.3	0	0	0
ENSMUSG00000028033.17	28	12	16
ENSMUSG00000104138.2	0	0	0
ENSMUSG00000082935.4	34	14	20
ENSMUSG00000103748.2	0	0	0
ENSMUSG00000099692.2	0	0	0
ENSMUSG00000100418.2	0	0	0
ENSMUSG00000041670.20	23	12	11
ENSMUSG00000097642.2	0	0	0
ENSMUSG00000101468.2	0	0	0
ENSMUSG00000101227.2	0	0	0
ENSMUSG00000073730.3	0	0	0
ENSMUSG00000089553.3	0	0	0
ENSMUSG00000102766.2	2	0	2
ENSMUSG00000065405.5	0	0	0
ENSMUSG00000097970.2	196	108	88
ENSMUSG00000065567.3	0	0	0
ENSMUSG00000100775.2	4	1	3
